slug,model,title,year,km,price_tl,age
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,149000,999999,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,188000,849000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,430000,580000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,113550,1150000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,252000,780000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,88500,990000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,242000,899999,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,269000,729000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,149000,975000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,98000,1297000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,271000,945000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,108000,1329750,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,190000,949000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,230000,930000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,144000,1147750,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,265000,765000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,204000,925000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,250500,755000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,150000,965000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,115000,1195000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,95000,1065000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,132500,875000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,143000,950000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,232000,875000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,358000,720000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,323000,804000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,200000,549000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,161000,835000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,244000,695000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,240000,745000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,200000,1060000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,135000,925000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,192000,789000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,260000,795000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,160000,1075000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,175000,1025000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,120000,1225000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,141000,985000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,155400,1190000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,290000,825000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,383500,815000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,313600,660000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,206000,825000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,170000,875000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,174000,975000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,195000,1100000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,257590,777000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,198000,925000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,147000,1210000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,213000,900000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,217000,685000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,295000,880000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,83000,1095000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,139000,1095000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,233000,835000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,290000,799999,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Adventure,2016,395000,690000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,112000,1175000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,120500,1149000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,300000,830000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,214000,950000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,132000,1265000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,243000,925000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,138000,955000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,148200,1155000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,99000,1170000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,232000,1100000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,252000,820000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,286000,675000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,123000,995000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,156000,970000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,222000,930000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,286000,675000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,271000,875000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,258000,760000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,420000,750000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,195000,1070000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,140000,1145000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,158000,1135500,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,320000,815000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,250000,610000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,300000,799999,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,350000,800000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,135000,915000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,158000,920000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,360000,725000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,199000,769900,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,270000,790000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,199000,875000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,420000,650000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,62053,1400000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,256000,795000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,166000,1150000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,325000,750000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,155000,1230000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,84912,1235000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,54000,1100000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,102000,1250000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,300000,925000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,147500,960000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,110000,1025000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,155000,1100000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,238000,835000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,230000,790000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,276000,805000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,183000,935000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,188000,940000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2016,70000,1300000,10
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2016,250000,849000,10
dacia-duster,Dacia Duster,Dacia Duster 1.6 Ambiance,2017,550000,550000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,114000,865000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2017,207500,1175000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2017,255000,830000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,100000,1250000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,335000,715000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,259000,955000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2017,296000,810000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,133500,970000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,212000,1020000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,141500,1069000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,154000,1050000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2017,230000,985000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2017,138000,935000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Blackshadow,2017,174000,1045000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,175000,1105000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,158000,1100000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2017,257000,840000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,116471,1160000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2017,225000,850000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,164000,980000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,179000,1025000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2017,189000,889000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,610000,550000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2017,234000,758000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2017,213000,865000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,93000,1195000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2017,264000,880000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Ambiance,2017,186000,1060000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Blackshadow,2017,247000,950000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,156000,1190000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,340000,875000,9
dacia-duster,Dacia Duster,Dacia Duster 1.5 dCi Laureate,2017,228000,865000,9
