slug,display,year,age,new_tl,new_usd,used_tl,used_usd,nominal_pct,usd_loss_pct,usd_loss_yillik,tufe_reel_loss_pct,tufe_reel_yillik,n,snapshot
audi-a3,Audi A3,2020,6,273962,48160,1814500,38879,562.3,19.3,3.5,34.2,6.7,47,20190723
audi-a3,Audi A3,2021,5,974373,58187,2200000,47139,125.8,19.0,4.1,46.5,11.8,49,20220703
audi-a3,Audi A3,2022,4,974373,58187,2180000,46711,123.7,19.7,5.3,47.0,14.7,47,20220703
audi-a3,Audi A3,2023,3,2240074,68897,2395000,51318,6.9,25.5,9.4,39.4,15.4,50,20240418
audi-a3,Audi A3,2024,2,2240074,68897,2800000,59996,25.0,12.9,6.7,29.1,15.8,41,20240418
audi-a3,Audi A3,2025,1,3059978,77248,2858000,61238,-6.6,20.7,20.7,29.3,29.3,48,20250622
bmw-1-serisi,Bmw 1 Serisi,2021,5,434900,61874,1990000,42640,357.6,31.1,7.2,39.6,9.6,25,20210212
bmw-1-serisi,Bmw 1 Serisi,2022,4,883750,55395,2085000,44675,135.9,19.4,5.2,44.1,13.5,12,20220521
bmw-1-serisi,Bmw 1 Serisi,2024,2,2179300,65912,2660000,56996,22.1,13.5,7.0,30.8,16.8,19,20240721
bmw-3-serisi,Bmw 3 Serisi,2020,6,623800,86574,2700000,57853,332.8,33.2,6.5,42.9,8.9,49,20210225
bmw-3-serisi,Bmw 3 Serisi,2021,5,623800,86574,2785000,59674,346.5,31.1,7.2,41.1,10.0,50,20210225
bmw-3-serisi,Bmw 3 Serisi,2022,4,2110342,112102,3125000,66960,48.1,40.3,12.1,48.1,15.1,48,20230202
bmw-3-serisi,Bmw 3 Serisi,2024,2,3409900,103131,3905000,83673,14.5,18.9,9.9,35.1,19.4,47,20240721
bmw-3-serisi,Bmw 3 Serisi,2025,1,3935550,103790,4298000,92093,9.2,11.3,11.3,17.3,17.3,49,20250323
citroen-c3,Citroen C3,2021,5,354000,22189,933500,20002,163.7,9.9,2.1,37.5,9.0,48,20220522
citroen-c3,Citroen C3,2022,4,493000,29563,1020000,21856,106.9,26.1,7.3,51.0,16.3,48,20220627
citroen-c3,Citroen C3,2023,3,921000,31837,1173450,25144,27.4,21.0,7.6,55.4,23.6,50,20231128
citroen-c3,Citroen C3,2024,2,1064500,33081,1195000,25605,12.3,22.6,12.0,36.4,20.2,47,20240528
citroen-c3-aircross,Citroen C3 Aircross,2020,6,155588,27351,1275000,27319,719.5,0.1,0.0,18.6,3.4,41,20190723
citroen-c3-aircross,Citroen C3 Aircross,2021,5,434000,31839,1300000,27855,199.5,12.5,2.6,29.0,6.6,43,20220129
citroen-c3-aircross,Citroen C3 Aircross,2022,4,434000,31839,1284500,27523,196.0,13.6,3.6,29.8,8.5,46,20220129
citroen-c3-aircross,Citroen C3 Aircross,2023,3,1163000,40173,1350000,28927,16.1,28.0,10.4,59.3,25.9,48,20231209
citroen-c3-aircross,Citroen C3 Aircross,2024,2,1324000,41145,1475000,31605,11.4,23.2,12.4,36.8,20.5,39,20240522
citroen-c5-aircross,Citroen C5 Aircross,2022,4,655750,42057,1875000,40176,185.9,4.5,1.1,32.2,9.3,49,20220516
citroen-c5-aircross,Citroen C5 Aircross,2023,3,1764950,60967,1962000,42040,11.2,31.0,11.7,61.0,27.0,44,20231209
citroen-c5-aircross,Citroen C5 Aircross,2024,2,1915000,58313,2125000,45532,11.0,21.9,11.6,37.1,20.7,49,20240623
citroen-c5-aircross,Citroen C5 Aircross,2025,1,2107500,54451,2260000,48425,7.2,11.1,11.1,18.8,18.8,43,20250515
citroen-c5-aircross,Citroen C5 Aircross,2026,0,2290000,54752,2375000,50889,3.7,7.1,7.1,21.5,21.5,11,20251014
dacia-duster,Dacia Duster,2020,6,348950,25288,1077500,23088,208.8,8.7,1.5,59.2,13.9,48,20211206
dacia-duster,Dacia Duster,2023,3,578000,30996,1372000,29398,137.4,5.2,1.7,43.7,17.4,48,20221129
dacia-duster,Dacia Duster,2024,2,1400950,42935,1555000,33319,11.0,22.4,11.9,37.1,20.7,46,20240620
dacia-sandero,Dacia Sandero,2020,6,115700,19945,915000,19606,690.8,1.7,0.3,21.5,4.0,43,20191209
dacia-sandero,Dacia Sandero,2021,5,346000,25578,912500,19552,163.7,23.6,5.2,37.5,9.0,48,20220126
dacia-sandero,Dacia Sandero,2022,4,471950,27419,1025000,21963,117.2,19.9,5.4,48.5,15.3,30,20220706
dacia-sandero,Dacia Sandero,2023,3,652450,31244,1135000,24320,74.0,22.2,8.0,39.0,15.2,21,20230602
dacia-sandero,Dacia Sandero,2024,2,1292000,33721,1345000,28819,4.1,14.5,7.6,21.2,11.2,11,20250427
dacia-sandero,Dacia Sandero,2025,1,1292000,33721,1350000,28927,4.5,14.2,14.2,20.9,20.9,37,20250427
fiat-egea,Fiat Egea,2020,6,134900,23327,830000,17784,515.3,23.8,4.4,38.9,7.9,49,20191213
fiat-egea,Fiat Egea,2021,5,524400,31170,875000,18749,66.9,39.9,9.7,60.4,16.9,47,20220705
fiat-egea,Fiat Egea,2022,4,524400,30906,895000,19177,70.7,38.0,11.2,59.5,20.2,45,20220705
fiat-egea,Fiat Egea,2023,3,1031400,37985,929450,19915,-9.9,47.6,19.4,68.4,31.9,44,20230924
fiat-egea,Fiat Egea,2024,2,1275400,39227,1177500,25230,-7.7,35.7,19.8,47.7,27.7,50,20240414
fiat-egea,Fiat Egea,2025,1,1308900,37478,1220000,26141,-6.8,30.2,30.2,47.2,47.2,49,20241213
fiat-egea-cross,Fiat Egea Cross,2021,5,560400,33574,1007500,21588,79.8,35.7,8.5,57.4,15.7,48,20220630
fiat-egea-cross,Fiat Egea Cross,2022,4,560400,33574,1050000,22498,87.4,33.0,9.5,55.6,18.4,47,20220630
fiat-egea-cross,Fiat Egea Cross,2023,3,1131400,39110,1120000,23998,-1.0,38.6,15.0,65.3,29.7,49,20231128
fiat-egea-cross,Fiat Egea Cross,2024,2,1325900,40711,1186000,25412,-10.6,37.6,21.0,49.3,28.8,38,20240421
fiat-egea-cross,Fiat Egea Cross,2025,1,1544400,37024,1247500,26730,-19.2,27.8,27.8,38.9,38.9,42,20251012
ford-focus,Ford Focus,2020,6,187500,32562,1317500,28230,602.7,13.3,2.4,30.2,5.8,50,20191208
ford-focus,Ford Focus,2021,5,522600,44481,1310000,28069,150.7,36.9,8.8,66.9,19.8,49,20211224
ford-focus,Ford Focus,2022,4,522600,44481,1417000,30362,171.1,31.7,9.1,64.2,22.7,25,20211224
ford-focus,Ford Focus,2023,3,1424700,51655,1585000,33962,11.3,34.3,13.0,61.0,26.9,49,20231004
ford-focus,Ford Focus,2024,2,1541900,47423,1717750,36806,11.4,22.4,11.9,36.8,20.5,46,20240414
ford-focus,Ford Focus,2025,1,2133150,53851,1862450,39907,-12.7,25.9,25.9,33.9,33.9,46,20250620
ford-kuga,Ford Kuga,2020,6,209250,36339,1737500,37229,730.3,-2.4,-0.4,17.6,3.2,48,20191208
ford-kuga,Ford Kuga,2022,4,2683800,97305,1890000,40497,-29.6,58.4,19.7,75.3,29.5,43,20231004
ford-kuga,Ford Kuga,2024,2,2794600,85808,2060000,44140,-26.3,48.6,28.3,58.2,35.4,36,20240421
ford-kuga,Ford Kuga,2025,1,2552200,62820,2290000,49068,-10.3,21.9,21.9,32.1,32.1,29,20250809
ford-ranger,Ford Ranger,2020,6,401500,47971,1925000,41247,379.5,14.0,2.5,36.7,7.3,49,20210613
ford-ranger,Ford Ranger,2021,5,401500,47971,1925000,41247,379.5,14.0,3.0,36.7,8.7,42,20210613
ford-ranger,Ford Ranger,2022,4,912600,52778,2199000,47118,141.0,10.7,2.8,42.9,13.1,27,20220707
ford-ranger,Ford Ranger,2025,1,3294700,83639,3500000,74995,6.2,10.3,10.3,19.6,19.6,33,20250616
honda-civic,Honda Civic,2020,6,182200,31506,1675000,35890,819.3,-13.9,-2.2,8.7,1.5,45,20191213
honda-civic,Honda Civic,2022,4,795500,47505,1895000,40604,138.2,14.5,3.8,43.5,13.3,47,20220703
honda-civic,Honda Civic,2023,3,1638500,56599,2095000,44890,27.9,20.7,7.4,55.2,23.5,48,20231209
honda-civic,Honda Civic,2024,2,1828000,56679,2285000,48961,25.0,13.6,7.1,29.1,15.8,43,20240519
honda-civic,Honda Civic,2025,1,2301500,56540,2375000,50889,3.2,10.0,10.0,21.9,21.9,33,20250811
hyundai-i20,Hyundai I20,2020,6,122062,21107,1232875,26417,910.0,-25.2,-3.8,-0.3,-0.0,48,20191213
hyundai-i20,Hyundai I20,2021,5,234846,27361,1166500,24995,396.7,8.6,1.8,34.4,8.1,48,20210918
hyundai-i20,Hyundai I20,2022,4,432000,25905,1174500,25166,171.9,2.9,0.7,35.6,10.4,48,20220627
hyundai-i20,Hyundai I20,2023,3,1045000,33477,1269000,27191,21.4,18.8,6.7,31.2,11.7,49,20240229
hyundai-i20,Hyundai I20,2024,2,1107500,34016,1389875,29781,25.5,12.4,6.4,28.9,15.7,48,20240423
hyundai-i20,Hyundai I20,2025,1,1107500,34016,1397450,29943,26.2,12.0,12.0,28.5,28.5,50,20240423
hyundai-tucson,Hyundai Tucson,2020,6,251470,43672,1820000,38997,623.7,10.7,1.9,28.1,5.4,46,20191208
hyundai-tucson,Hyundai Tucson,2021,5,1029178,57276,1985000,42533,92.9,25.7,5.8,54.3,14.5,49,20220812
hyundai-tucson,Hyundai Tucson,2022,4,1029178,57276,2060000,44140,100.2,22.9,6.3,52.6,17.0,50,20220812
hyundai-tucson,Hyundai Tucson,2023,3,1955000,67594,2125000,45532,8.7,32.6,12.3,61.9,27.5,45,20231205
hyundai-tucson,Hyundai Tucson,2024,2,2212500,62052,2390000,51211,8.0,17.5,9.2,18.2,9.6,47,20250123
hyundai-tucson,Hyundai Tucson,2025,1,2562000,65883,2450000,52496,-4.4,20.3,20.3,27.6,27.6,46,20250525
kia-sportage,Kia Sportage,2020,6,232600,40221,1664900,35674,615.8,11.3,2.0,28.9,5.5,49,20191213
kia-sportage,Kia Sportage,2022,4,509900,36952,2130000,45640,317.7,-23.5,-5.4,44.9,13.8,45,20211206
kia-sportage,Kia Sportage,2025,1,2835000,67973,2622500,56192,-7.5,17.3,17.3,30.0,30.0,50,20251008
kia-sportage,Kia Sportage,2026,0,2512000,59737,2089000,44761,-16.8,25.1,25.1,37.1,37.1,11,20251104
kia-stonic,Kia Stonic,2020,6,149500,25963,1260000,26998,742.8,-4.0,-0.7,16.3,2.9,33,20191207
kia-stonic,Kia Stonic,2021,5,257900,29687,1270000,27212,392.4,8.3,1.7,35.0,8.3,39,20210711
kia-stonic,Kia Stonic,2022,4,410900,29778,1335000,28605,224.9,3.9,1.0,57.1,19.1,45,20211206
kia-stonic,Kia Stonic,2023,3,729000,38163,1380000,29569,89.3,22.5,8.2,33.7,12.8,46,20230327
kia-stonic,Kia Stonic,2025,1,1284000,39552,1680000,35997,30.8,9.0,9.0,25.8,25.8,16,20240416
mercedes-benz-a,Mercedes Benz A,2023,3,3329650,107199,2775000,59460,-16.7,44.5,17.8,52.8,22.1,18,20240225
