slug,year,snapshot,price_min_tl,price_max_tl,usd_rate
toyota-corolla-cross,2023,20240528140302,1926500,2338500,32.1782
toyota-corolla-cross,2024,20240528140302,1926500,2338500,32.1782
toyota-corolla-cross,2025,20250812183359,2286000,3200000,40.7116
toyota-corolla-cross,2026,20250812183359,2286000,3200000,40.7116
kia-sportage,2020,20191213111942,149300,315900,5.783
kia-sportage,2022,20211206031443,329900,689900,13.7988
kia-sportage,2025,20251008231858,2370000,3300000,41.708
kia-sportage,2026,20251104142735,1400000,3624000,42.0507
opel-mokka,2021,20220522221327,689900,779900,15.9536
opel-mokka,2022,20220522221327,689900,779900,15.9536
opel-mokka,2023,20231202075315,1415900,1630900,28.9073
opel-mokka,2024,20240530150350,1553900,1825900,32.307
opel-mokka,2025,20240908214145,1553900,1862900,33.9547
hyundai-tucson,2020,20191208025810,209619,293320,5.7582
hyundai-tucson,2021,20220812182226,793357,1265000,17.9689
hyundai-tucson,2022,20220812182226,793357,1265000,17.9689
hyundai-tucson,2023,20231205085613,1575000,2335000,28.9225
hyundai-tucson,2024,20250123041538,1830000,2595000,35.6556
hyundai-tucson,2025,20250525050222,2110000,3014000,38.8873
hyundai-tucson,2026,20251013025527,2160000,3441500,41.7947
nissan-qashqai,2021,20210711140019,328000,447500,8.6872
nissan-qashqai,2022,20220705181628,866800,1200400,16.9674
nissan-qashqai,2024,20240810163225,1899900,2709900,33.5199
nissan-qashqai,2025,20251010115628,2264300,3636000,41.7138
nissan-qashqai,2026,20251010115628,2264300,3636000,41.7138
volkswagen-t-roc,2021,20220627001441,781300,937300,16.676
volkswagen-t-roc,2022,20220627001441,781300,937300,16.676
volkswagen-t-roc,2023,20231209092948,1622500,1945400,28.9495
volkswagen-t-roc,2024,20240416082724,1805000,2170000,32.4632
volkswagen-t-roc,2025,20250810200305,2252000,2970000,40.6274
volkswagen-t-roc,2026,20250810200305,2252000,2970000,40.6274
peugeot-3008,2020,20191213095524,128325,302223,5.783
peugeot-3008,2021,20220520131849,797500,985000,15.9536
peugeot-3008,2022,20220520131849,797500,985000,15.9536
peugeot-3008,2024,20240528131450,1920000,2395500,32.1782
peugeot-3008,2025,20250427124928,2420500,2824000,38.3144
renault-austral,2023,20240415062149,1605000,2126000,32.3854
renault-austral,2024,20240415062149,1605000,2126000,32.3854
renault-austral,2025,20240415062149,1605000,2126000,32.3854
ford-kuga,2020,20191208021916,187700,230800,5.7582
ford-kuga,2022,20231004060150,1403100,3964500,27.5812
ford-kuga,2024,20240421052302,1589200,4000000,32.5682
ford-kuga,2025,20250809211051,2081900,3022500,40.6274
ford-kuga,2026,20250809211051,2081900,3022500,40.6274
dacia-duster,2020,20211206020922,222000,475900,13.7988
dacia-duster,2023,20221129120150,466000,690000,18.6475
dacia-duster,2024,20240620161008,1177900,1624000,32.6298
fiat-egea,2020,20191213104754,101900,167900,5.783
fiat-egea,2021,20220705192011,374900,673900,16.8237
fiat-egea,2022,20220705192011,374900,673900,16.9674
fiat-egea,2023,20230924005430,767900,1294900,27.1528
fiat-egea,2024,20240414210131,977900,1572900,32.5136
fiat-egea,2025,20241213030056,1004900,1612900,34.9249
renault-megane,2021,20220526052823,445000,660900,16.3975
renault-megane,2022,20220703015739,525900,777900,16.7456
renault-megane,2024,20240420165010,1182000,1649000,32.5682
renault-megane,2025,20250513233016,1837000,2062000,38.782
renault-megane,2026,20251012020328,1902900,2238000,41.7138
renault-clio,2021,20220630075721,386900,523000,16.6914
renault-clio,2022,20220630075721,386900,523000,16.6914
renault-clio,2024,20240415192741,942000,1229000,32.3854
renault-clio,2025,20250805112229,1447000,1573000,40.6757
renault-clio,2026,20250805112229,1447000,1573000,40.6757
toyota-corolla,2020,20191213112408,103150,209150,5.783
volkswagen-passat,2023,20241107074133,2393000,4792000,34.238
volkswagen-passat,2024,20241107074133,2393000,4792000,34.238
volkswagen-passat,2025,20250620110441,2778000,5557000,39.6122
volkswagen-passat,2026,20250620110441,2778000,5557000,39.6122
honda-civic,2020,20191213101849,127900,236500,5.783
