slug,brand,label,price_min_tl,price_max_tl
audi-a3-allstreet,audi,Audi A3 AllStreet 1 Versiyon SUV/Arazi 4.391.612 TL,4391612,4391612
audi-a3-sedan,audi,Audi A3 Sedan 2 Versiyon Sedan 4.184.036 - 4.663.484 TL,4184036,4663484
audi-a3-sportback,audi,Audi A3 Sportback 2 Versiyon Hatchback 3.519.107 - 4.529.948,3519107,4529948
audi-a5-avant,audi,Audi A5 Avant 4 Versiyon Station wagon 6.231.938 - 8.690.211,6231938,8690211
audi-a5-sedan,audi,Audi A5 Sedan 4 Versiyon Sedan 6.098.438 - 8.427.771 TL,6098438,8427771
audi-a6-avant,audi,Audi A6 Avant 3 Versiyon Station wagon 7.648.811 - 10.993.72,7648811,10993722
audi-a6-e-tron-avant,audi,Audi A6 E-Tron Avant 3 Versiyon Station wagon 8.121.061 - 9.,8121061,9792003
audi-a6-e-tron-sportback,audi,Audi A6 E-Tron Sportback 3 Versiyon Hatchback 7.946.971 - 9.,7946971,9618123
audi-a6-sedan,audi,Audi A6 Sedan 4 Versiyon Sedan 10.255.423 - 13.524.614 TL,10255423,13524614
bmw-1-serisi,bmw,BMW 1 serisi 2 Versiyon Hatchback 3.724.500 - 4.283.100 TL,3724500,4283100
bmw-2-serisi-active-tourer,bmw,BMW 2 Serisi Active Tourer 4 Versiyon MPV 4.379.500 - 5.371.,4379500,5371800
bmw-2-serisi-gran-coupe,bmw,BMW 2 Serisi Gran Coupe 2 Versiyon Coupe 4.152.800 - 4.427.8,4152800,4427800
bmw-3-serisi-sedan,bmw,BMW 3 serisi Sedan 3 Versiyon Sedan 5.529.000 - 6.533.300 TL,5529000,6533300
bmw-4-serisi-cabrio,bmw,BMW 4 Serisi Cabrio 1 Versiyon Cabrio 10.004.800 TL,10004800,10004800
bmw-4-serisi-coupe,bmw,BMW 4 Serisi Coupe 2 Versiyon Coupe 6.905.900 - 7.712.500 TL,6905900,7712500
bmw-4-serisi-gran-coupe,bmw,BMW 4 Serisi Gran Coupe 2 Versiyon Coupe 6.586.700 - 7.396.9,6586700,7396900
