slug,name,cat,title,year,km,price_tl,age,variant
alfa-romeo-junior-elettrica,Junior Elettrica,arazi-suv-pick-up,Alfa Romeo Junior Elettrica,2024,18000.0,1999800,2,diger
alfa-romeo-junior-elettrica,Junior Elettrica,arazi-suv-pick-up,Alfa Romeo Junior Elettrica,2024,14000.0,1798750,2,diger
alfa-romeo-junior-elettrica,Junior Elettrica,arazi-suv-pick-up,Alfa Romeo Junior Elettrica,2024,28000.0,1679000,2,diger
alfa-romeo-junior-elettrica,Junior Elettrica,arazi-suv-pick-up,Alfa Romeo Junior Elettrica,2025,17000.0,1824900,1,diger
alfa-romeo-junior-elettrica,Junior Elettrica,arazi-suv-pick-up,Alfa Romeo Junior Elettrica,2025,11000.0,1820000,1,diger
alfa-romeo-junior-elettrica,Junior Elettrica,arazi-suv-pick-up,Alfa Romeo Junior Elettrica,2025,6100.0,2049000,1,diger
alfa-romeo-junior-elettrica,Junior Elettrica,arazi-suv-pick-up,Alfa Romeo Junior Elettrica,2025,28000.0,1850000,1,diger
alfa-romeo-junior-ibrida,Junior Ibrida,arazi-suv-pick-up,Alfa Romeo Junior Ibrida 1.2 speciale,2024,18000.0,1895000,2,1.2
alfa-romeo-junior-ibrida,Junior Ibrida,arazi-suv-pick-up,Alfa Romeo Junior Ibrida 1.2 speciale,2024,9100.0,1999000,2,1.2
alfa-romeo-junior-ibrida,Junior Ibrida,arazi-suv-pick-up,Alfa Romeo Junior Ibrida 1.2,2024,6001.0,2020000,2,1.2
alfa-romeo-junior-ibrida,Junior Ibrida,arazi-suv-pick-up,Alfa Romeo Junior Ibrida 1.2 speciale,2024,32000.0,1849000,2,1.2
alfa-romeo-junior-ibrida,Junior Ibrida,arazi-suv-pick-up,Alfa Romeo Junior Ibrida 1.2 speciale,2024,27000.0,1980000,2,1.2
alfa-romeo-junior-ibrida,Junior Ibrida,arazi-suv-pick-up,Alfa Romeo Junior Ibrida 1.2,2024,18500.0,1850000,2,1.2
alfa-romeo-junior-ibrida,Junior Ibrida,arazi-suv-pick-up,Alfa Romeo Junior Ibrida 1.2,2025,48000.0,1835000,1,1.2
alfa-romeo-junior-ibrida,Junior Ibrida,arazi-suv-pick-up,Alfa Romeo Junior Ibrida 1.2 speciale,2025,31850.0,1820000,1,1.2
alfa-romeo-junior-ibrida,Junior Ibrida,arazi-suv-pick-up,Alfa Romeo Junior Ibrida 1.2,2025,11036.0,1865000,1,1.2
alfa-romeo-junior-ibrida,Junior Ibrida,arazi-suv-pick-up,Alfa Romeo Junior Ibrida 1.2,2025,30000.0,1825000,1,1.2
alfa-romeo-junior-ibrida,Junior Ibrida,arazi-suv-pick-up,Alfa Romeo Junior Ibrida 1.2,2025,44649.0,1840000,1,1.2
alfa-romeo-junior-ibrida,Junior Ibrida,arazi-suv-pick-up,Alfa Romeo Junior Ibrida 1.2,2025,8500.0,1949500,1,1.2
alfa-romeo-junior-ibrida,Junior Ibrida,arazi-suv-pick-up,Alfa Romeo Junior Ibrida 1.2,2025,20853.0,1889000,1,1.2
alfa-romeo-junior-ibrida,Junior Ibrida,arazi-suv-pick-up,Alfa Romeo Junior Ibrida 1.2,2025,14019.0,1855000,1,1.2
alfa-romeo-junior-ibrida,Junior Ibrida,arazi-suv-pick-up,Alfa Romeo Junior Ibrida 1.2,2025,10180.0,1870000,1,1.2
alfa-romeo-junior-ibrida,Junior Ibrida,arazi-suv-pick-up,Alfa Romeo Junior Ibrida 1.2 speciale,2025,6001.0,2000000,1,1.2
alfa-romeo-junior-ibrida,Junior Ibrida,arazi-suv-pick-up,Alfa Romeo Junior Ibrida 1.2,2026,6001.0,2150000,0,1.2
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.5 Hybrid Edizione Speciale,2022,62600.0,2035000,4,1.5 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D Sprint,2022,12500.0,1935000,4,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.5 Hybrid Edizione Speciale,2022,61000.0,2060000,4,1.5 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.5 Hybrid Edizione Speciale,2022,48200.0,1915000,4,1.5 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D Sprint,2022,93000.0,1815000,4,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.5 VGT Edizione Speciale,2022,63000.0,1890000,4,1.5
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.5 Hybrid Ti,2022,23000.0,2045000,4,1.5 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2022,74150.0,1729900,4,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.5 Hybrid Edizione Speciale,2022,47000.0,1939058,4,1.5 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.5 Hybrid Veloce,2022,60000.0,2135000,4,1.5 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.5 VGT Edizione Speciale,2022,78000.0,2050000,4,1.5
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2022,37900.0,1959000,4,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D Sprint,2022,137000.0,1660000,4,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.5 Hybrid Veloce,2023,29700.0,2134950,3,1.5 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.5 Hybrid Veloce,2023,34456.0,2195000,3,1.5 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,34774.0,2030000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,29000.0,1750000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.5 Hybrid Veloce,2023,47000.0,2075000,3,1.5 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,61500.0,1965000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.3 Hybrid Veloce,2023,9000.0,2479950,3,1.3 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,48000.0,1869000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,53000.0,1919000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,78000.0,1849750,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.5 Hybrid Veloce,2023,58500.0,2185000,3,1.5 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,74700.0,1924950,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,27000.0,1975000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,68000.0,1925000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.5 Hybrid Veloce,2023,29000.0,2040000,3,1.5 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.5 VGT Veloce,2023,79000.0,2070000,3,1.5
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,45000.0,1920000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.3 Hybrid Veloce,2023,60000.0,2320000,3,1.3 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,29864.0,2050000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,32000.0,1770000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.3 Hybrid Veloce,2023,28700.0,2318950,3,1.3 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.5 Hybrid Veloce,2023,87000.0,2079000,3,1.5 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,50411.0,1935000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,72000.0,1884000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,49544.0,1960000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,97400.0,1789000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.3 Hybrid Veloce,2023,55000.0,2215000,3,1.3 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,27500.0,2270000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.5 Hybrid Ti,2023,48000.0,2040000,3,1.5 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.3 Hybrid Veloce,2023,42500.0,2475000,3,1.3 Hybrid
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,65000.0,1840000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.5 VGT Veloce,2023,34000.0,2380000,3,1.5
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,75000.0,1875000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,52000.0,1859000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,99000.0,1830000,3,1.6 D
alfa-romeo-tonale,Tonale,arazi-suv-pick-up,Alfa Romeo Tonale 1.6 D TI,2023,77000.0,1929000,3,1.6 D
